sta lon lat
2227.csv -74.3750 39.3655
2228.csv -74.3625 39.3655
2229.csv -74.3500 39.3655
2230.csv -74.3375 39.3655
2231.csv -74.3250 39.3655
2309.csv -74.5500 39.3752
2310.csv -74.5375 39.3752
2311.csv -74.5250 39.3752
2312.csv -74.5125 39.3752
2313.csv -74.5000 39.3752
2314.csv -74.4875 39.3752
2315.csv -74.4750 39.3752
2316.csv -74.4625 39.3752
2317.csv -74.4500 39.3752
2318.csv -74.4375 39.3752
2319.csv -74.4250 39.3752
2320.csv -74.4125 39.3752
2321.csv -74.4000 39.3752
2322.csv -74.3875 39.3752
2323.csv -74.3750 39.3752
2324.csv -74.3625 39.3752
2325.csv -74.3500 39.3752
2326.csv -74.3375 39.3752
2327.csv -74.3250 39.3752
2407.csv -74.5500 39.3850
2408.csv -74.5375 39.3850
2409.csv -74.5250 39.3850
2410.csv -74.5125 39.3850
2411.csv -74.5000 39.3850
2412.csv -74.4875 39.3850
2413.csv -74.4750 39.3850
2414.csv -74.4625 39.3850
2415.csv -74.4500 39.3850
2416.csv -74.4375 39.3850
2417.csv -74.4250 39.3850
2418.csv -74.4125 39.3850
2419.csv -74.4000 39.3850
2420.csv -74.3875 39.3850
2421.csv -74.3750 39.3850
2422.csv -74.3625 39.3850
2423.csv -74.3500 39.3850
2424.csv -74.3375 39.3850
2425.csv -74.3250 39.3850
2506.csv -74.5500 39.3947
2507.csv -74.5375 39.3947
2508.csv -74.5250 39.3947
2509.csv -74.5125 39.3947
2510.csv -74.5000 39.3947
2511.csv -74.4875 39.3947
2512.csv -74.4750 39.3947
2513.csv -74.4625 39.3947
2514.csv -74.4500 39.3947
2515.csv -74.4375 39.3947
2516.csv -74.4250 39.3947
2517.csv -74.4125 39.3947
2518.csv -74.4000 39.3947
2519.csv -74.3875 39.3947
2520.csv -74.3750 39.3947
2521.csv -74.3625 39.3947
2522.csv -74.3500 39.3947
2523.csv -74.3375 39.3947
2524.csv -74.3250 39.3947
2608.csv -74.5500 39.4045
2609.csv -74.5375 39.4045
2610.csv -74.5250 39.4045
2611.csv -74.5125 39.4045
2612.csv -74.5000 39.4045
2613.csv -74.4875 39.4045
2614.csv -74.4750 39.4045
2615.csv -74.4625 39.4045
2616.csv -74.4500 39.4045
2617.csv -74.4375 39.4045
2618.csv -74.4250 39.4045
2619.csv -74.4125 39.4045
2620.csv -74.4000 39.4045
2621.csv -74.3875 39.4045
2622.csv -74.3750 39.4045
2623.csv -74.3625 39.4045
2624.csv -74.3500 39.4045
2625.csv -74.3375 39.4045
2626.csv -74.3250 39.4045
2711.csv -74.5500 39.4142
2712.csv -74.5375 39.4142
2713.csv -74.5250 39.4142
2714.csv -74.5125 39.4142
2715.csv -74.5000 39.4142
2716.csv -74.4875 39.4142
2717.csv -74.4750 39.4142
2718.csv -74.4625 39.4142
2719.csv -74.4500 39.4142
2720.csv -74.4375 39.4142
2721.csv -74.4250 39.4142
2722.csv -74.4125 39.4142
2723.csv -74.4000 39.4142
2724.csv -74.3875 39.4142
2725.csv -74.3750 39.4142
2726.csv -74.3625 39.4142
2727.csv -74.3500 39.4142
2728.csv -74.3375 39.4142
2729.csv -74.3250 39.4142
2815.csv -74.5500 39.4240
2816.csv -74.5375 39.4240
2817.csv -74.5250 39.4240
2818.csv -74.5125 39.4240
2819.csv -74.5000 39.4240
2820.csv -74.4875 39.4240
2821.csv -74.4750 39.4240
2822.csv -74.4625 39.4240
2823.csv -74.4500 39.4240
2824.csv -74.4375 39.4240
2825.csv -74.4250 39.4240
2826.csv -74.4125 39.4240
2827.csv -74.4000 39.4240
2828.csv -74.3875 39.4240
2829.csv -74.3750 39.4240
2830.csv -74.3625 39.4240
2831.csv -74.3500 39.4240
2832.csv -74.3375 39.4240
2833.csv -74.3250 39.4240
2920.csv -74.5500 39.4337
2921.csv -74.5375 39.4337
2922.csv -74.5250 39.4337
2923.csv -74.5125 39.4337
2924.csv -74.5000 39.4337
2925.csv -74.4875 39.4337
2926.csv -74.4750 39.4337
2927.csv -74.4625 39.4337
2928.csv -74.4500 39.4337
2929.csv -74.4375 39.4337
2930.csv -74.4250 39.4337
2931.csv -74.4125 39.4337
2932.csv -74.4000 39.4337
2933.csv -74.3875 39.4337
2934.csv -74.3750 39.4337
2935.csv -74.3625 39.4337
2936.csv -74.3500 39.4337
2937.csv -74.3375 39.4337
2938.csv -74.3250 39.4337
3025.csv -74.5500 39.4435
3026.csv -74.5375 39.4435
3027.csv -74.5250 39.4435
3028.csv -74.5125 39.4435
