Occupancy,FIRM,Flood Zone,Total loss ratio (%),Foundation (%),Below First Floor (%),Structure Framing (%),Roof Covering (%),Roof Framing (%),Exterior Walls (%),Interiors (%)
COM2,0,A ,50,0,0,0,0,0,0.02,49.98
COM2,0,A ,60,0,0,0,0,0,0.02,59.98
COM2,0,A ,70,0,0,0,0,0,0.05,69.95
COM2,0,A ,80,0.02,0,0,0,0,0.06,79.92
COM2,0,A ,90,0.18,0,0,0.01,0,0.06,89.75
COM2,0,A ,100,0.43,0,0,0.01,0,0.05,99.5
COM2,0,CA,0,0,0,0,0,0,0,0
COM2,0,CA,10,0,0,0,0,0,0,10
COM2,0,CA,20,0,0,0,0,0,0.01,19.99
COM2,0,CA,30,0,0,0,0,0,0.02,29.98
COM2,0,CA,40,0,0,0,0,0,0.02,39.97
COM2,0,CA,50,0,0,0,0,0,0.04,49.96
COM2,0,CA,60,0.01,0,0,0,0,0.04,59.95
COM2,0,CA,70,0.06,0,0,0,0,0.05,69.89
COM2,0,CA,80,0.11,0,0,0.01,0,0.05,79.83
COM2,0,CA,90,0.35,0,0,0.01,0,0.06,89.58
COM2,0,CA,100,0.62,0,0,0.01,0,0.05,99.31
COM2,0,V ,0,0,0,0,0,0,0,0
COM2,0,V ,10,0,0,0,0,0,0,10
COM2,0,V ,20,0,0,0,0,0,0.01,19.99
COM2,0,V ,30,0,0,0,0,0,0.02,29.98
COM2,0,V ,40,0,0,0,0,0,0.02,39.98
COM2,0,V ,50,0,0,0,0,0,0.04,49.96
COM2,0,V ,60,0.01,0,0,0,0,0.04,59.95
COM2,0,V ,70,0.06,0,0,0,0,0.05,69.89
COM2,0,V ,80,0.11,0,0,0.01,0,0.05,79.83
COM2,0,V ,90,0.35,0,0,0.01,0,0.06,89.58
COM2,0,V ,100,0.62,0,0,0.01,0,0.05,99.31
COM2,1,A ,0,0,0,0,0,0,0,0
COM2,1,A ,10,0,0,0,0,0,0,10
COM2,1,A ,20,0,0,0,0,0,0.01,19.99
COM2,1,A ,30,0,0,0,0,0,0.01,29.99
COM2,1,A ,40,0,0,0,0,0,0.01,39.99
COM2,1,A ,50,0.09,0,0,0,0,0.02,49.88
COM2,1,A ,60,0.33,0,0,0,0,0.03,59.64
COM2,1,A ,70,0.59,0,0,0,0,0.04,69.37
COM2,1,A ,80,1.11,0,0,0.01,0,0.04,78.84
COM2,1,A ,90,1.74,0,0,0.01,0,0.04,88.21
COM2,1,A ,100,2.47,0,0,0.01,0,0.04,97.47
COM2,1,CA,0,0,0,0,0,0,0,0
COM2,1,CA,10,0,0,0,0,0,0,10
COM2,1,CA,20,0,0,0,0,0,0.01,19.99
COM2,1,CA,30,0,0,0,0,0,0.02,29.98
COM2,1,CA,40,0,0,0,0,0,0.02,39.98
COM2,1,CA,50,0,0,0,0,0,0.03,49.97
COM2,1,CA,60,0.05,0,0,0,0,0.03,59.92
COM2,1,CA,70,0.28,0,0,0,0,0.04,69.67
COM2,1,CA,80,0.63,0,0,0.01,0,0.05,79.31
COM2,1,CA,90,1.61,0,0,0.01,0,0.04,88.33
COM2,1,CA,100,2.5,0,0,0.01,0,0.04,97.44
COM2,1,V ,0,0,0,0,0,0,0,0
COM2,1,V ,10,0,0,0,0,0,0,10
COM2,1,V ,20,0,0,0,0,0,0.01,19.99
COM2,1,V ,30,0,0,0,0,0,0.02,29.98
COM2,1,V ,40,0,0,0,0,0,0.02,39.98
COM2,1,V ,50,0,0,0,0,0,0.03,49.97
COM2,1,V ,60,0.05,0,0,0,0,0.03,59.92
COM2,1,V ,70,0.27,0,0,0,0,0.04,69.68
COM2,1,V ,80,0.63,0,0,0.01,0,0.04,79.31
COM2,1,V ,90,1.64,0,0,0.01,0,0.04,88.3
COM2,1,V ,100,2.52,0,0,0.01,0,0.04,97.42
COM3,0,A ,0,0,0,0,0,0,0,0
COM3,0,A ,10,0,0,0,0,0,0,10
COM3,0,A ,20,0,0,0,0,0,0,20
COM3,0,A ,30,0,0,0,0,0,0,30
COM3,0,A ,40,0,0,0,0,0,0,40
COM3,0,A ,50,0,0,0,0,0,0,50
COM3,0,A ,60,0,0,0,0,0,0,60
COM3,0,A ,70,0,0,0,0,0,0.01,69.99
COM3,0,A ,80,0,0,0,0,0,0.01,79.99
COM3,0,A ,90,0,0,0,0,0,0.01,89.99
COM3,0,A ,100,0,0,0,0,0,0.01,99.99
COM3,0,CA,0,0,0,0,0,0,0,0
