Occupancy,FIRM,Total loss ratio (%),Foundation (%),Below First Floor (%),Structure Framing (%),Roof Covering (%),Roof Framing (%),Exterior Walls (%),Interiors (%)
COM7,0,40,0,0,0,2.62,0.59,2.94,33.85
COM7,0,50,0,0,0,2.81,0.77,3.62,42.8
COM7,0,60,0,0,0,2.98,0.93,4.49,51.6
COM7,0,70,0,0,0.01,3.13,1.15,5.97,59.74
COM7,0,80,0.14,0,0.23,3.35,1.43,7.3,67.56
COM7,0,90,1.64,0,1.32,3.47,1.68,8.44,73.45
COM7,0,100,1.83,0,1.47,3.75,1.87,9.38,81.7
COM7,1,0,0,0,0,0,0,0,0
COM7,1,10,0,0,0,1.73,0.19,0.7,7.39
COM7,1,20,0,0,0,2.17,0.35,1.26,16.23
COM7,1,30,0,0,0,2.51,0.49,2,25
COM7,1,40,0,0,0,2.74,0.62,2.81,33.84
COM7,1,50,0,0,0,2.93,0.8,3.46,42.8
COM7,1,60,0,0,0,3.11,0.97,4.3,51.62
COM7,1,70,0.01,0,0.01,3.27,1.2,5.71,59.8
COM7,1,80,0.28,0,0.19,3.5,1.5,6.98,67.56
COM7,1,90,3.38,0,1.08,3.56,1.72,7.94,72.31
COM7,1,100,3.76,0,1.21,3.75,1.92,8.84,80.51
COM8,0,0,0,0,0,0,0,0,0
COM8,0,10,0,0,0,2.44,0.28,0.52,6.76
COM8,0,20,0,0,0,3.04,0.54,0.93,15.49
COM8,0,30,0,0,0,3.49,0.75,1.47,24.29
COM8,0,40,0,0,0,3.94,0.92,1.95,33.18
COM8,0,50,0,0,0,4.13,1.13,2.48,42.26
COM8,0,60,0,0,0,4.44,1.37,3.03,51.16
COM8,0,70,0,0,0.01,4.68,1.64,3.98,59.68
COM8,0,80,0.07,0,0.18,5,2.24,5.22,67.29
COM8,0,90,2.84,0,2.75,5,2.63,5.89,70.89
COM8,0,100,3.18,0,3.07,5,2.93,6.58,79.21
COM8,1,0,0,0,0,0,0,0,0
COM8,1,10,0,0,0,2.53,0.29,0.47,6.7
COM8,1,20,0,0,0,3.18,0.56,0.84,15.42
COM8,1,30,0,0,0,3.64,0.79,1.34,24.22
COM8,1,40,0,0,0,4.12,0.96,1.79,33.12
COM8,1,50,0,0,0,4.32,1.18,2.28,42.22
COM8,1,60,0,0,0,4.65,1.43,2.78,51.13
COM8,1,70,0,0,0.01,4.91,1.72,3.65,59.7
COM8,1,80,0.12,0,0.17,5,2.36,4.81,67.55
COM8,1,90,4.57,0,2.55,5,2.71,5.32,69.84
COM8,1,100,5.26,0,2.94,5,3.12,6.13,77.5
COM9,0,0,0,0,0,0,0,0,0
COM9,0,10,0,0,0,2.72,0.24,0.68,6.36
COM9,0,20,0,0,0,3.41,0.64,1.16,14.79
COM9,0,30,0,0,0,3.97,0.85,1.72,23.46
COM9,0,40,0,0,0,4.34,1,2.37,32.3
COM9,0,50,0,0,0,4.65,1.2,3.01,41.14
COM9,0,60,0.03,0,0.01,5,1.39,3.82,49.76
