,BldgID,Address,City,State,Latitude,Longitude,OccupancyClass,BuildingType,UseCode,BldgClass,DesignLevel,YearBuiltNJDEP,YearBuiltMODIV,NumberofStories0,NumberofStories1,NoUnits,PlanArea0,PlanArea1,FoundationType,SplitLevel,ElevationR0,ElevationR1,FirstFloorHt0,FirstFloorHt1,FloodZone,DSWI,DSWII,DSWIII,DSWIV,WindZone,AvgJanTemp,RoofShape,RoofSlope,RoofCover,RoofSystem,MeanRoofHt,WindowArea,Garage,HazusClassW,HazusClassIN,HazusClassWA,AnalysisDefault,AnalysisAdopted,Modifications,z0,structureType,replacementCost,originID
27,NJBF000055216,9300 AMHERST AVE,Margate City,NJ,39.32546032,-74.51723828,COM8,3003,,NaN,ME,1946,1946,3401,1,1,13901.71132,13901.71132,3507,NO,13.8,19.45,1,-0.77,6106,113.1657,123.032821,132.722552,139.27414,I,Above,Flat,0,5701,,16.62780063,0,0,,,,1,1,,0.03,nav,1,1223
28,NJBF000075034,326 S MAIN ST,Pleasantville,NJ,39.388503,-74.525201,COM1,3003,,NaN,ME,1955,1955,3401,1,1,1647.747398,1647.747398,3507,NO,16.79,22.67,1,1.09,6112,112.212548,122.202666,131.85152,138.156115,I,Above,Flat,0,NaN,,19.72695846,0,0,,,,1,1,,1,nav,1,6602
29,NJBF000054971,127 N WASHINGTON AVE,Margate City,NJ,39.32478959,-74.51586363,RES3B,3003,,22,ME,1951,1951,3301,2,1,3078.127629,3078.127629,3507,NO,28.8,38.12,1,0.17,6106,113.205698,123.064686,132.754935,139.3108,I,Above,Flat,0,5701,,33.45973317,0,0,,,,1,1,,0.03,nav,1,727
30,NJBF000073390,8012 BLACK HORSE PIKE,Egg Harbor,NJ,39.38033785,-74.49374336,COM1,3003,999,NaN,ME,1950,1950,3401,2,1,2404.890882,2404.890882,3507,NO,24.54,37.44,1,0.78,6106,112.990314,122.846352,132.538498,138.895767,I,Above,Flat,0,NaN,,30.99333269,0,0,,,,1,1,,0.03,nav,1,1287
31,NJBF000057470,199 NEW RD,Somers Point,NJ,39.34250417,-74.600954,COM3,3003,51,NaN,ME,1969,1972,3401,1,1,3419.706048,3419.706048,3507,NO,11.92,22.21,1,-0.4,6112,111.127063,121.382275,131.095304,137.307981,I,Above,Hip,0,NaN,,17.06549151,0,0,,,,1,1,,0.35,nav,1,1928
32,NJBF000055129,9306 AMHERST AVE,Margate City,NJ,39.32521983,-74.517374,COM8,3003,,NaN,ME,1969,0,3401,2,1,1383.820097,1383.820097,3507,NO,38.93,44.76,1,2.54,6106,113.166311,123.033188,132.722748,139.274482,I,Above,Flat,0,5701,,41.84739883,0,0,,,,1,1,,0.03,nav,1,1224
33,NJBF000055126,9314 AMHERST AVE,Margate City,NJ,39.3252134,-74.51763481,COM8,3003,,NaN,ME,1969,0,3401,3,1,6896.468324,6896.468324,3507,NO,48.24,61.68,1,2.03,6106,113.160717,123.02868,132.718091,139.269253,I,Above,Gable,0,5701,,54.9626489,0,0,,,,1,1,,0.03,nav,1,4429
34,NJBF000095464,51 N WHITE HORSE PK,Hammonton,NJ,39.65027125,-74.7907762,COM4,3003,,NaN,ME,1970,1970,3401,1,1,2130.323792,2130.323792,3507,NO,11.53,23.92,1,0.88,6112,108.018414,116.337196,126.216513,129.465836,I,Above,Gable,0,5701,,17.72781306,0,0,,,,1,1,,1,nav,1,1709
35,NJBF000054073,9309-11 VENTNOR AVE,Margate City,NJ,39.32229704,-74.51448533,COM3,3003,,NaN,ME,1979,1979,3401,2,1,2187.293921,2187.293921,3507,NO,32.61,43.22,1,2.14,6106,113.273087,123.117634,132.807583,139.370481,I,Above,Gable,0,NaN,,37.91919315,0,0,,,,1,1,,0.03,nav,1,4740
36,NJBF000095306,91 LINDA AVE,Hammonton,NJ,39.64934151,-74.79326324,COM4,3003,,17,ME,1980,1980,3401,1,2,2819.791689,2819.791689,3507,NO,16.63,24.36,1,1.4,6112,108.000397,116.326086,126.202341,129.445146,I,Above,Gable,0,5701,,20.49300661,0,1.2,,,,1,1,,1,nav,1,1704
