,BldgID,Address,City,State,Latitude,Longitude,OccupancyClass,BuildingType,UseCode,BldgClass,DesignLevel,YearBuiltNJDEP,YearBuiltMODIV,NumberofStories0,NumberofStories1,NoUnits,PlanArea0,PlanArea1,FoundationType,SplitLevel,ElevationR0,ElevationR1,FirstFloorHt0,FirstFloorHt1,FloodZone,DSWI,DSWII,DSWIII,DSWIV,WindZone,AvgJanTemp,RoofShape,RoofSlope,RoofCover,RoofSystem,MeanRoofHt,WindowArea,Garage,HazusClassW,HazusClassIN,HazusClassWA,AnalysisDefault,AnalysisAdopted,Modifications,z0,structureType,replacementCost,yearBuilt,stories,area,occupancy
26,NJBF000072197,1817 N MISSOURI AVE,Atlantic City,NJ,39.3728645,-74.4535545,RES1,3001,,17,NE,1900,1900,3101,1,1,1134.766004,1134.766004,3505,NO,25.84,32.09,3,8.88,6106,113.954306,123.650378,133.405597,139.727957,I,Above,Flat,0,5701,Wood,28.96514477,0,0,,,,1,1,,0.03,nav,1,1900,1,,
27,NJBF000072227,400 N NEW HAMPSHIRE AVE,Atlantic City,NJ,39.37296747,-74.4191288,RES3C,3001,,NaN,ME,1969,0,3301,1,1,6014.012796,6014.012796,3505,NO,17.37,29.2,3,3.39,6106,114.69356,124.278259,134.095682,140.282283,I,Above,Hip,0,NaN,Wood,23.28496809,0,0,,,,1,1,,0.03,nav,1,1969,1,,
28,NJBF000072895,837 N MASSACHUSETTS AVE,Atlantic City,NJ,39.37550337,-74.42300718,RES3D,3001,,18,ME,2006,2006,3301,3,1,1357.048534,1357.048534,3507,NO,37.84,42.89,1,0.96,6106,114.581869,124.18062,133.98979,140.185651,I,Above,Hip,0,NaN,Wood,40.36492488,0,0,,,,1,1,,0.03,nav,1,2006,3,,
29,NJBF000069283,2231 ARCTIC AVE,Atlantic City,NJ,39.35950971,-74.44011018,COM1,3003,,NaN,ME,1969,0,3401,1,1,10842.04384,10842.04384,3507,NO,21.89,34.89,1,2.94,6106,114.403388,124.036401,133.817587,140.144537,I,Above,Flat,0,NaN,Wood,28.38958755,0,0,,,,1,1,,0.03,nav,1,1969,1,,
30,NJBF000068521,2807 DENNY ST,Atlantic City,NJ,39.35700017,-74.44757492,RES1,3001,,27,NE,1900,1900,3102,2,2,1447.053472,1447.053472,3505,NO,34.44,43.9,3,7.74,6106,114.2723,123.927698,133.696793,140.064021,I,Above,Hip,0,5701,Wood,39.16934775,0,0,,,,1,1,,0.03,nav,1,1900,2,,
31,NJBF000072516,538 N MASSACHUSETTS AVE,Atlantic City,NJ,39.3739549,-74.42235362,RES1,3001,,45,NE,1900,1900,3102,2,2,1562.170649,1562.170649,3505,NO,39.94,52.12,3,8.35,6106,114.613535,124.208743,134.019618,140.217751,I,Above,Hip,0,5701,Wood,46.02753727,0,0,,,,1,1,,0.03,nav,1,1900,2,,
32,NJBF000066458,4017 VENTNOR AVE,Atlantic City,NJ,39.349802,-74.45892115,COM1,3004,100,NaN,ME,1969,0,3401,2,1,2121.364634,2121.364634,3507,YES,24.17,33.17,1,1.09,6106,114.11498,123.800095,133.552295,139.99249,I,Above,Flat,0,NaN,Wood,28.67068861,0,0,,,,1,1,,0.03,nav,1,1969,2,,
33,NJBF000068201,2905 ARCTIC AVE,Atlantic City,NJ,39.355985,-74.4485495,RES3A,3001,,45,NE,1930,1930,3301,2,3,1474.77185,1474.77185,3505,NO,35.82,50.53,3,6.9,6106,114.263656,123.920912,133.68854,140.063665,I,Above,Hip,0,5701,Wood,43.17148983,0,0,,,,1,1,,0.03,nav,1,1930,2,,
34,NJBF000072280,1600 EMERSON AVE,Atlantic City,NJ,39.37314507,-74.44961931,RES1,3001,,17,NE,1959,1959,3101,1,1,2029.396069,2029.396069,3505,NO,11.94,23.73,3,0.41,6106,114.036589,123.71893,133.480575,139.789225,I,Above,Hip,0,5701,Wood,17.83627987,0,0,,,,1,1,,0.03,nav,1,1959,1,,
35,NJBF000071219,914 N INDIANA AVE,Atlantic City,NJ,39.36979733,-74.43988434,RES3A,3001,,27,NE,1953,1953,3301,2,2,1687.922785,1687.922785,3505,YES,35.33,43.04,3,5.75,6106,114.285753,123.931614,133.711171,139.998133,I,Above,Flat,0,5701,Wood,39.18497199,0,0,,,,1,1,,0.03,nav,1,1953,2,,
36,NJBF000069087,2312 ARCTIC AVE,Atlantic City,NJ,39.35871841,-74.44091582,COM1,3003,,45,ME,1920,1920,3401,3,3,1267.11776,1267.11776,3507,YES,38.45,48.45,1,1.26,6106,114.395626,124.030176,133.810075,140.143393,I,Above,Gable,0,NaN,Wood,43.45236519,0,0,,,,1,1,,0.03,nav,1,1920,3,,
37,NJBF000069314,122 N MISSISSIPPI AVE,Atlantic City,NJ,39.35963541,-74.44114268,COM1,3003,,47,ME,1900,1910,3401,2,3,3533.316075,3533.316075,3507,YES,32.4,42.97,1,1.94,6106,114.379518,124.016305,133.795728,140.126552,I,Above,Flat,0,NaN,Wood,37.68833586,0,0,,,,1,1,,0.03,nav,1,1900,2,,
38,NJBF000067661,12 N MONTPELIER AVE,Atlantic City,NJ,39.35409178,-74.450722,RES3B,3001,,45,ME,1908,1908,3301,2,3,1577.696548,1577.696548,3504,NO,36.89,50.03,-4,0,6106,114.239888,123.901876,133.666217,140.057496,I,Above,Hip,0,NaN,Wood,43.46405256,0,0,,,,1,1,,0.03,nav,1,1908,2,,
39,NJBF000067689,14 N MONTPELIER AVE,Atlantic City,NJ,39.35417434,-74.45078828,RES3B,3001,,45,ME,1900,1900,3301,2,2,1539.698677,1539.698677,3504,NO,26.13,39.84,-4,0,6106,114.237428,123.899803,133.664035,140.055243,I,Above,Hip,0,NaN,Wood,32.98710693,0,0,,,,1,1,,0.03,nav,1,1900,2,,
