,BldgID,Address,City,State,Latitude,Longitude,OccupancyClass,BuildingType,UseCode,BldgClass,DesignLevel,YearBuiltNJDEP,YearBuiltMODIV,NumberofStories0,NumberofStories1,NoUnits,PlanArea0,PlanArea1,FoundationType,SplitLevel,ElevationR0,ElevationR1,FirstFloorHt0,FirstFloorHt1,FloodZone,DSWI,DSWII,DSWIII,DSWIV,WindZone,AvgJanTemp,RoofShape,RoofSlope,RoofCover,RoofSystem,MeanRoofHt,WindowArea,Garage,HazusClassW,HazusClassIN,HazusClassWA,AnalysisDefault,AnalysisAdopted,Modifications,z0
84,NJBF000087860,7291 WEYMOUTH ROAD,Hamilton,NJ,39.5440245,-74.79309387,RES1,3001,,15,NE,1930,1930,3102,1,1,890.1755332,890.1755332,3507,NO,17.38,25.52,1,1.63,6106,108.276831,117.226362,126.94406,130.60035,I,Above,Gable,0,5701,,21.44890588,0,0,,,,1,1,,0.03
85,NJBF000090596,5741 CRANBERRY COURT,Mullica,NJ,39.58989699,-74.60453143,RES1,3001,,16,NE,1989,1989,3101,2,1,1988.53238,1988.53238,3505,NO,27.08,33.45,3,-0.43,6112,110.129406,118.874126,128.553841,133.397794,I,Above,Gable,0,5701,,30.26516228,0,0,,,,1,1,,0.35
86,NJBF000088683,CITY PARK-LAKE,Egg Harbor City,NJ,39.55845149,-74.61011093,COM4,3001,,,ME,1960,1960,3401,3,1,1501.05832,1501.05832,3507,NO,39.03,53.23,1,0.18,6112,110.149418,119.144412,128.779298,133.774066,I,Above,Hip,0,,,46.13089529,0,0,,,,1,1,,0.03
87,NJBF000083289,FAA TECH CENTER,Egg Harbor,NJ,39.44120101,-74.56824444,GOV1,3003,,,E,1969,0,3401,1,1,530.7404598,530.7404598,3507,NO,14.81,27.15,1,0.81,6112,111.040028,120.94421,130.448392,136.453306,I,Above,Flat,0,,,20.97912318,0,0,,,,1,1,,1
88,NJBF000091114,126 S RIVER DR,Folsom,NJ,39.60072349,-74.86361285,RES1,3001,,16,NE,1976,1976,3101,2,1,829.5346216,829.5346216,3507,NO,29.87,42.02,1,2.19,6106,107.590074,116.193406,125.958475,129.057224,I,Above,Gable,0,5701,,35.9434547,0,0,,,,1,1,,0.03
89,NJBF000078155,4045 SPRUCE AVENUE,Egg Harbor,NJ,39.40329835,-74.5908878,RES1,3001,,16,NE,1951,1951,3102,1,1,2460.040128,2460.040128,3507,NO,13.73,19.92,1,0.17,6112,110.699586,120.933622,130.529502,136.587907,I,Above,Gable,0,5701,,16.82647645,0,1.2,,,,1,1,,0.15
90,NJBF000069770,1000 ARGO LANE,Northfield,NJ,39.3638256,-74.54603886,RES1,3001,,18,NE,1992,1992,3109,2,1,3794.547426,3794.547426,3507,NO,36,49.97,1,1.76,6112,111.997811,122.098168,131.767642,138.124807,I,Above,Gable,0,5701,,42.98611727,0,1.2,,,,1,1,,0.35
91,NJBF000084965,5928 CEDARCROFT DRIVE,Hamilton,NJ,39.47177351,-74.7124919,RES1,3001,,17,NE,1984,1984,3102,1,1,1233.651525,1233.651525,3505,NO,16.18,26.35,3,5.06,6112,109.122029,118.656891,128.308539,133.06371,I,Above,Gable,0,5701,,21.2668763,0,0,,,,1,1,,0.35
92,NJBF000096965,263 BASIN RD,Hammonton,NJ,39.66109648,-74.78561237,AGR1,3001,,17,NE,1900,1900,3401,2,1,1360.875469,1360.875469,3507,NO,34.6,45.93,1,1.55,6112,108.029488,116.278752,126.18508,129.412927,I,Above,Gable,0,5701,,40.26352851,0,0,,,,1,1,,0.03
93,NJBF000071434,425 N MARYLAND AVE,Atlantic City,NJ,39.37060793,-74.42564427,RES1,3001,210,,NE,1969,0,3102,1,1,906.2940373,906.2940373,3505,NO,12.09,25.16,3,-0.83,6106,114.582127,124.183352,133.988734,140.212988,I,Above,Flat,0,5701,,18.62778897,0,0,,,,1,1,,0.03
94,NJBF000088732,5111 WHITE HORSE PIKE,Mullica,NJ,39.559234,-74.69254383,RES1,3001,,16,NE,1963,1954,3101,1,1,761.0389248,761.0389248,3505,NO,21.32,34.69,3,3.32,6112,109.171473,118.120421,127.816196,132.17596,I,Above,Gable,0,5701,,28.00557052,0,0,,,,1,1,,0.35
95,NJBF000079744,15 W REDWOOD AVE,Pleasantville,NJ,39.41386475,-74.50493704,RES3C,3001,,,E,1969,0,3303,1,1,724.4369536,724.4369536,3507,NO,14.21,20.46,1,-0.13,6106,112.448827,122.296233,131.935787,138.147959,I,Above,Gable,0,,,17.33274543,0,0,,,,1,1,,0.03
96,NJBF000079043,334 MONTCLAIR DR,Pleasantville,NJ,39.40917857,-74.50060793,RES3C,3001,,16,E,1954,1954,3303,1,1,1570.648225,1570.648225,3507,NO,18.05,24.36,1,1.96,6112,112.577113,122.421433,132.073223,138.305479,I,Above,Gable,0,,,21.20611304,0,1.1,,,,1,1,,0.35
97,NJBF000054245,110 S SUMNER AVE,Margate City,NJ,39.32283903,-74.50745764,RES1,3001,,23,NE,2013,2013,3103,3,1,2009.454389,2009.454389,3505,NO,47.7,59.61,3,5.41,6106,113.418313,123.235066,132.929898,139.505979,I,Above,Hip,0,5701,,53.65681325,0,1.2,,,,1,1,,0.03
98,NJBF000073446,EXPRESSWAY PARKING LOT,Pleasantville,NJ,39.38078502,-74.49105397,COM1,3003,,,ME,1969,0,3401,2,1,2023.456941,2023.456941,3507,NO,31.37,40.9,1,2.83,6106,113.045145,122.889712,132.584886,138.93892,I,Above,Flat,0,,,36.13621648,0,0,,,,1,1,,0.03
99,NJBF000091190,3300 READING AVENUE,Mullica,NJ,39.60187232,-74.75842545,RES1,3001,,15,NE,2010,2010,3102,2,1,1016.887523,1016.887523,3507,NO,39.61,50.72,1,1.04,6112,108.43193,117.051593,126.839937,130.475581,I,Above,Gable,0,5701,,45.1625401,0,0,,,,1,1,,1
100,NJBF000085896,6891 WEYMOUTH RD,Hamilton,NJ,39.51271952,-74.77835066,COM8,3001,,15,ME,1985,1942,3401,1,1,1809.219527,1809.219527,3507,NO,12.35,21.95,1,-0.54,6106,108.471829,117.619676,127.312556,131.243016,I,Above,Flat,0,5701,,17.14895669,0,0,,,,1,1,,0.03
