ID,RoofShape,FloodZone,Area,Longitude,Latitude,Terrain,DSWII,geometry,BuildingType,OccupancyClass,AvgJanTemp,Garage,RoofSlope,NumberofStories,MeanRoofHt,YearBuilt
1,Gable,X,477.8005806,-93.2382925,30.1376725,76,133.1153033,"POLYGON ((-93.238378 30.13777, -93.238378 30.137575, -93.238207 30.137575, -93.238207 30.13777, -93.238378 30.13777))",Wood,RES1,Above,2.1,0.03313934,1,12.60253346,1991
2,Gable,X,357.7282554,-93.24034962,30.1389731,24,133.0764964,"POLYGON ((-93.24043 30.13906, -93.240427 30.138897, -93.24024199999999 30.1389, -93.24024300000001 30.138962, -93.24029400000001 30.138962, -93.240296 30.139061, -93.24043 30.13906))",Wood,RES1,Above,2.1,0.072405748,1,13.31646815,1992
3,Gable,X,292.4423316,-93.239684,30.1334185,76,133.2555607,"POLYGON ((-93.23963999999999 30.133528, -93.239734 30.133526, -93.239728 30.133309, -93.239634 30.133311, -93.23963999999999 30.133528))",Wood,RES1,Above,2.1,0.307251891,2,29.58639801,1987
4,Gable,X,151.3676146,-93.2376595,30.135087,76,133.1980951,"POLYGON ((-93.23759 30.135125, -93.237729 30.135125, -93.237729 30.135049, -93.23759 30.135049, -93.23759 30.135125))",Wood,RES1,Above,0,0.109348595,1,13.98815628,1990
5,Gable,X,518.9793017,-93.23892191,30.13440903,76,133.2221821,"POLYGON ((-93.238815 30.134315, -93.238815 30.134489, -93.239065 30.134489, -93.239065 30.134419, -93.238995 30.134419, -93.238995 30.134315, -93.238815 30.134315))",Wood,RES1,Above,0,0.067501297,1,13.22729632,1988
6,Hip,X,558.5853579,-93.24036063,30.13729483,76,133.1310039,"POLYGON ((-93.240476 30.137354, -93.240476 30.137211, -93.240235 30.137211, -93.240235 30.137322, -93.24028800000001 30.137322, -93.24028800000001 30.137396, -93.240436 30.137396, -93.240436 30.137354, -93.240476 30.137354))",Wood,RES1,Above,0,0.095060369,1,13.72837034,1989
7,Hip,X,427.140054,-93.23751956,30.13593874,76,133.1702527,"POLYGON ((-93.23742900000001 30.135861, -93.23742900000001 30.13603, -93.237582 30.13603, -93.237582 30.135928, -93.237641 30.135928, -93.237641 30.135861, -93.23742900000001 30.135861))",Wood,RES1,Above,2.1,0.215975591,1,15.92682892,1988
8,Hip,X,606.7142818,-93.24033992,30.13696777,76,133.1415834,"POLYGON ((-93.240229 30.136879, -93.240229 30.137085, -93.240387 30.137085, -93.240387 30.136962, -93.240505 30.136962, -93.240505 30.136879, -93.240229 30.136879))",Wood,RES1,Above,2.1,0.257640616,1,16.68437483,1990
9,Hip,X,543.8143024,-93.23826725,30.13897386,24,133.0730207,"POLYGON ((-93.23813800000001 30.138881, -93.238136 30.138952, -93.238191 30.138953, -93.238187 30.139074, -93.238365 30.139078, -93.238371 30.138887, -93.23813800000001 30.138881))",Wood,RES1,Above,0,0.159696105,1,14.90356555,1989
10,Gable,X,468.5098142,-93.23752979,30.13347993,76,133.249942,"POLYGON ((-93.237619 30.13339, -93.237416 30.13339, -93.237416 30.133456, -93.237442 30.133456, -93.237442 30.133557, -93.237574 30.133557, -93.237574 30.133592, -93.237652 30.133592, -93.237652 30.133532, -93.237593 30.133532, -93.237593 30.13345, -93.237619 30.13345, -93.237619 30.13339))",Wood,RES1,Above,2.1,0.055567559,1,13.01031925,1990
