ID,TestbedID,RoofShape,FloodZone,Area,Longitude,Latitude,Terrain,DSWII,BuildingType,AvgJanTemp,Garage,NumberOfStories,YearBuilt,RoofSlope,MeanRoofHt,geometry,OccupancyClass,FEMAID
229,84,Hip,X,702.6457129,-93.29908476,30.17008177,42,132.1558156,Wood,Above,0,1,1998,0,12,"POLYGON ((-93.299296 30.169993, -93.298945 30.170002, -93.298951 30.170196, -93.29914599999999 30.170192, -93.299142 30.170068, -93.29929799999999 30.170064, -93.299296 30.169993))",RES1,79109
230,1281,Hip,X,671.4457317,-93.28489599,30.17074439,42,132.1091644,Wood,Above,0,1,1994,0.286492498,17.2089545,"POLYGON ((-93.284913 30.170661, -93.28474799999999 30.170665, -93.284751 30.170743, -93.284796 30.170742, -93.2848 30.170854, -93.28501 30.170849, -93.285003 30.170623, -93.28491200000001 30.170625, -93.284913 30.170661))",RES1,79111
231,6912,Hip,X,587.0139011,-93.28092729,30.17098986,17,132.0942942,Wood,Above,0,2,1994,0,12,"POLYGON ((-93.280798 30.170891, -93.280798 30.170967, -93.280851 30.170967, -93.280851 30.171102, -93.281026 30.171102, -93.281026 30.170891, -93.280798 30.170891))",RES1,79120
232,18821,Gable,X,704.2971556,-93.29121076,30.16649846,42,132.260593,Wood,Above,1.1,2,1999,0,28.62,"POLYGON ((-93.29127800000001 30.166315, -93.291144 30.166313, -93.29114 30.166631, -93.291172 30.166631, -93.29117100000001 30.166696, -93.291273 30.166697, -93.29127800000001 30.166315))",RES1,79123
233,21667,Hip,X,798.527584,-93.28636662,30.16965084,42,132.1478842,Wood,Above,0,2,1995,0.2,30.09,"POLYGON ((-93.286399 30.16952, -93.286222 30.16952, -93.28622300000001 30.169602, -93.286266 30.169602, -93.286266 30.169687, -93.286215 30.169687, -93.286216 30.16975, -93.286539 30.169749, -93.28653799999999 30.169617, -93.2864 30.169618, -93.286399 30.16952))",RES1,79126
234,11625,Hip,X,766.3546707,-93.29059477,30.16582998,42,132.2816209,Wood,Above,0,1,1998,0.290245597,17.97265748,"POLYGON ((-93.290721 30.16597, -93.290722 30.165731, -93.290441 30.165731, -93.290441 30.165892, -93.290615 30.165892, -93.290615 30.16597, -93.290721 30.16597))",RES1,79149
235,5766,Hip,X,674.2858237,-93.28595816,30.17103608,42,132.1013236,Wood,Above,0,1,1994,0.008094949,12.14718089,"POLYGON ((-93.285799 30.170922, -93.285803 30.171031, -93.285889 30.171029, -93.28589100000001 30.171093, -93.285955 30.171092, -93.28595799999999 30.171175, -93.28611600000001 30.171172, -93.286113 30.171079, -93.286027 30.171081, -93.286022 30.170917, -93.285799 30.170922))",RES1,79158
236,20834,Hip,X,820.9656486,-93.29427917,30.17035858,11,132.1381764,Wood,Above,2.1,3,1997,0.44,47.96,"POLYGON ((-93.29408100000001 30.170362, -93.29407500000001 30.17045, -93.294408 30.170466, -93.29442299999999 30.170241, -93.294194 30.17023, -93.29419 30.170298, -93.29424 30.1703, -93.294236 30.17037, -93.29408100000001 30.170362))",RES1,79166
237,8385,Hip,X,502.1012256,-93.286602,30.1740025,52,132.0041342,Wood,Above,2.1,1,1995,0.18591443,27.38026236,"POLYGON ((-93.286728 30.173933, -93.28647599999999 30.173933, -93.28647599999999 30.174072, -93.286728 30.174072, -93.286728 30.173933))",RES3,79170
238,26855,Hip,X,603.2647764,-93.28615591,30.17155394,17,132.0845118,Wood,Above,0,2,1995,0.3,29.51,"POLYGON ((-93.28624499999999 30.171601, -93.286231 30.171566, -93.286382 30.171522, -93.286357 30.171455, -93.286152 30.171514, -93.28614 30.171482, -93.285974 30.171529, -93.28602600000001 30.171664, -93.28624499999999 30.171601))",RES3,79181
239,20828,Hip,X,811.9153461,-93.28596928,30.17401695,52,132.0025777,Wood,Above,2.1,1,1993,0.241150599,16.38455635,"POLYGON ((-93.286095 30.17413, -93.286092 30.173891, -93.28599199999999 30.173892, -93.285993 30.173933, -93.28591900000001 30.173934, -93.28591900000001 30.173893, -93.285842 30.173894, -93.28584499999999 30.174132, -93.286095 30.17413))",RES3,79188
240,15585,Hip,X,799.7640188,-93.29527958,30.17099506,11,132.118836,Wood,Above,2.1,1,1998,0.062770492,13.14128167,"POLYGON ((-93.29514399999999 30.171091, -93.295479 30.171091, -93.295479 30.17101, -93.295356 30.17101, -93.295355 30.170875, -93.295143 30.170875, -93.29514399999999 30.171091))",RES3,79193
241,29472,Hip,X,827.11095,-93.29427842,30.17075142,11,132.1251577,Wood,Above,0,1,1997,0.13,18.6,"POLYGON ((-93.294184 30.170866, -93.294425 30.170868, -93.294427 30.170659, -93.294065 30.170657, -93.29406400000001 30.17074, -93.294239 30.170741, -93.29423800000001 30.17079, -93.294185 30.17079, -93.294184 30.170866))",RES1,79198
242,17395,Hip,X,816.5604383,-93.2842054,30.15248043,21,132.7104462,Wood,Above,0,1,1995,0.139886517,14.54339123,"POLYGON ((-93.284131 30.152509, -93.284131 30.152609, -93.284306 30.152609, -93.284306 30.152488, -93.284369 30.152488, -93.284369 30.152385, -93.28403900000001 30.152386, -93.28403900000001 30.15251, -93.284131 30.152509))",RES3,79200
243,21375,Hip,X,875.5812945,-93.28760925,30.16436088,42,132.3249569,Wood,Above,0,1,1998,0,17.09,"POLYGON ((-93.287407 30.164274, -93.287406 30.164353, -93.287567 30.164355, -93.287567 30.164404, -93.287513 30.164403, -93.28751200000001 30.164491, -93.28774199999999 30.164494, -93.287745 30.16428, -93.287665 30.164279, -93.287666 30.164182, -93.28760699999999 30.164181, -93.287606 30.164276, -93.287407 30.164274))",RES3,79201
244,2414,Hip,X,874.3892948,-93.279118,30.17217288,17,132.0520925,Wood,Above,0,3,1995,0.143570209,14.61036743,"POLYGON ((-93.278908 30.172122, -93.27891200000001 30.172262, -93.279101 30.172258, -93.2791 30.172217, -93.27915400000001 30.172216, -93.27915299999999 30.172187, -93.279236 30.172185, -93.279239 30.172292, -93.279319 30.17229, -93.279314 30.172114, -93.279256 30.172115, -93.27925500000001 30.172071, -93.279042 30.172076, -93.279044 30.172119, -93.278908 30.172122))",RES1,79202
245,2405,Hip,X,743.5786429,-93.29416999,30.16573172,42,132.291157,Wood,Above,2.1,2,1999,0.174346397,15.16993449,"POLYGON ((-93.294022 30.165641, -93.294023 30.165812, -93.29419799999999 30.165812, -93.29419799999999 30.165839, -93.294308 30.165839, -93.29430600000001 30.165639, -93.294022 30.165641))",RES1,79210
