,OBJECTID,DMG_LEVEL,DMG_TYPE,ASMT_TYPE,IN_DEPTH,WIND_SPEED,PGA,ACCESS,COUNTY,STATE,FIPS,PROD_DATE,IMG_DATE,EVENT_NAME,EVENT_DATE,SOURCE,DIS_NUMBER,COMMENTS,LONGITUDE,LATITUDE,USNG
78918,897187,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2937622,30.1722813,
78941,897210,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2963715,30.1720829,
75390,893659,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2955933,30.1678314,
77361,895630,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2941284,30.1715355,
79097,897366,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.286377,30.1693726,
79845,898114,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2897568,30.168726,
79201,897470,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.28759,30.1643658,
78681,896950,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2909317,30.1681366,
78000,896269,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2906723,30.172617,
80145,898414,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2923203,30.1657467,
80233,898502,AFF,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2848587,30.1506767,
77831,896100,NOD,MUL,MOD,,CAT4,, ,Calcasieu,LA,22019,,,2020 Hurricane Laura,8/26/2020 0:00,GeoX,DR-4559,Automated AI damage assmts from 3D CAP WaldoAir I*,-93.2897873,30.1729794,
