sta lon lat
1491.csv -74.5087 39.4245
1492.csv -74.5087 39.4277
1493.csv -74.5087 39.4309
1494.csv -74.5087 39.4341
1495.csv -74.5087 39.4373
1496.csv -74.5087 39.4405
1497.csv -74.5087 39.4436
1498.csv -74.5087 39.4468
1499.csv -74.5087 39.45
1500.csv -74.5087 39.4532
1501.csv -74.5041 39.2972
1502.csv -74.5041 39.3004
1503.csv -74.5041 39.3036
1504.csv -74.5041 39.3068
1505.csv -74.5041 39.3099
1506.csv -74.5041 39.3131
1507.csv -74.5041 39.3163
1508.csv -74.5041 39.3195
1509.csv -74.5041 39.3227
1510.csv -74.5041 39.3259
1511.csv -74.5041 39.329
1512.csv -74.5041 39.3322
1513.csv -74.5041 39.3354
1514.csv -74.5041 39.3386
1515.csv -74.5041 39.3418
1516.csv -74.5041 39.345
1517.csv -74.5041 39.3481
1518.csv -74.5041 39.3513
1519.csv -74.5041 39.3545
1520.csv -74.5041 39.3577
1521.csv -74.5041 39.3609
1522.csv -74.5041 39.3641
1523.csv -74.5041 39.3672
1524.csv -74.5041 39.3704
1525.csv -74.5041 39.3736
1526.csv -74.5041 39.3768
1527.csv -74.5041 39.38
1528.csv -74.5041 39.3832
1529.csv -74.5041 39.3863
1530.csv -74.5041 39.3895
1531.csv -74.5041 39.3927
1532.csv -74.5041 39.3959
1533.csv -74.5041 39.3991
1534.csv -74.5041 39.4023
1535.csv -74.5041 39.4054
1536.csv -74.5041 39.4086
1537.csv -74.5041 39.4118
1538.csv -74.5041 39.415
1539.csv -74.5041 39.4182
1540.csv -74.5041 39.4214
1541.csv -74.5041 39.4245
1542.csv -74.5041 39.4277
1543.csv -74.5041 39.4309
1544.csv -74.5041 39.4341
1545.csv -74.5041 39.4373
1546.csv -74.5041 39.4405
1547.csv -74.5041 39.4436
1548.csv -74.5041 39.4468
1549.csv -74.5041 39.45
1550.csv -74.5041 39.4532
1551.csv -74.4995 39.2972
1552.csv -74.4995 39.3004
1553.csv -74.4995 39.3036
1554.csv -74.4995 39.3068
1555.csv -74.4995 39.3099
1556.csv -74.4995 39.3131
1557.csv -74.4995 39.3163
1558.csv -74.4995 39.3195
1559.csv -74.4995 39.3227
1560.csv -74.4995 39.3259
1561.csv -74.4995 39.329
